ID,Scenario,New Pipeline,Costs,Capturable CO2 (kt),Lat1,Long1,SUM(Total cost toggle),Latitude (generated),Longitude (generated),ATTR(CO2 emissions (kt)),ATTR(Capturable CO2 (kt)),ATTR(Capture cost - high (EUR/t CO2)),ATTR(Capture costs - low (EUR/t CO2)),ATTR(Facility name),ATTR(Sector_reviewed),ATTR(Selected storage),ATTR(Selected transport),ATTR(Total costs - high (EUR/t CO2)),ATTR(Total costs - low (EUR/t CO2)),ATTR(Transport + storage (EUR/t) - high),ATTR(Transport + storage (EUR/t) - low)
863,Short term,Not possible,High estimates,324.90000000000003,41.420804,2.231541,192.47141038837816,41.420804,2.231541,361,324.90000000000003,120,60,CENTRAL TERMICA DE CICLE COMBINAT (SANT ADRIÀ DE BESÒS - GRUP 5),Power and heat,Storage point 300_400,Coastline 0_10,192.47141038837816,107.47141038837816,72.47141038837816,47.47141038837816
864,Short term,Not possible,High estimates,324.0,44.96732,14.121223,172.91829195673535,44.96732,14.121223,360,324.0,110,55,Proizvodnja cementa Koromačno,Non-metallic minerals,Storage point 100_200,Coastline 0_10,172.91829195673535,92.91829195673535,62.918291956735345,37.918291956735345
865,Short term,Not possible,High estimates,322.551,46.049722,9.718611,211.4152230237323,46.049722,9.718611,358,322.551,115,55,CEMENTERIA DI PIACENZA,Non-metallic minerals,Storage point 200_300,No infrastructure,211.4152230237323,126.4152230237323,96.4152230237323,71.4152230237323
866,Short term,Not possible,High estimates,322.2,50.858083,20.208925,269.74245987707013,50.858083,20.208925,358,322.2,110,55,Lhoist Bukowa Sp.zo.o.,Non-metallic minerals,Storage far,Railway 0_5,269.74245987707013,189.74245987707016,159.74245987707016,134.74245987707016
867,Short term,Not possible,High estimates,322.2,44.66,-0.94,182.245420315273,44.66,-0.94,358,322.2,125,60,DALKIA FRANCE,Power and heat,Storage point 100_200,Pipeline 0_10,182.245420315273,92.24542031527301,57.245420315273016,32.245420315273016
868,Short term,Not possible,High estimates,321.75,59.386708,27.238024,199.18936764375306,59.386708,27.238024,715,321.75,110,55,"VKG Oil AS, Kohtla-Järve Petroter põlevkiviõlitehas",Refinery,Storage far,Coastline 0_10,199.18936764375306,119.18936764375306,89.18936764375306,64.18936764375306
869,Short term,Not possible,High estimates,321.3,51.038055,17.150278,284.74245987707013,51.038055,17.150278,357,321.3,125,65,Elektrociepłownia Czechnica,Power and heat,Storage far,Railway 0_5,284.74245987707013,199.74245987707016,159.74245987707016,134.74245987707016
870,Short term,Not possible,High estimates,321.0,51.4222829751,6.74199127782,171.2989515538467,51.4222829751,6.74199127782,535,321.0,100,45,DK Recycling und Roheisen GmbH,Iron and steel,Storage point 100_200,Waterway 0_10,171.2989515538467,91.2989515538467,71.2989515538467,46.298951553846706
871,Short term,Not possible,High estimates,320.40000000000003,52.3733799922,9.71430382776,217.02628278163797,52.3733799922,9.71430382776,356,320.40000000000003,125,65,Stadtwerke Hannover AG Heizkraftwerk Linden,Power and heat,Storage point 300_400,Waterway 0_10,217.02628278163797,132.02628278163797,92.02628278163797,67.02628278163797
872,Short term,Not possible,High estimates,320.40000000000003,51.2481725312,7.1201258975,210.42988283275855,51.2481725312,7.1201258975,356,320.40000000000003,125,65,WSW Energie & Wasser AG,Power and heat,Storage point 200_300,Waterway 10_50,210.42988283275855,125.42988283275857,85.42988283275857,60.429882832758565
873,Short term,Not possible,High estimates,319.9383,53.2679,-2.52548,182.245420315273,53.2679,-2.52548,355,319.9383,125,65,Winnington Sodium Carbonate Manufacturing Site,Power and heat,Storage point 100_200,Pipeline 0_10,182.245420315273,97.24542031527301,57.245420315273016,32.245420315273016
874,Short term,Not possible,High estimates,318.6,39.6864,-8.90367,172.71596665026217,39.6864,-8.90367,354,318.6,110,55,CI - Fábrica Maceira-Liz,Non-metallic minerals,Storage far,Pipeline 0_10,172.71596665026217,92.71596665026217,62.715966650262175,37.715966650262175
